d83554df-ec54-4ffc-a56d-f7145374dcdd::span:898:913~~d83554df-ec54-4ffc-a56d-f7145374dcdd::span:929:933	1	"his wife" occurs between person1 and person2
381d69e7-2dbe-4893-8455-617a567c6168::span:3072:3076~~381d69e7-2dbe-4893-8455-617a567c6168::span:3179:3190	2	'Pope' is in person1 or person2
480b9bf4-f55a-4215-9caa-2fb7c1f6566a::span:1772:1787~~480b9bf4-f55a-4215-9caa-2fb7c1f6566a::span:1862:1875	2	'(' is before person2 and ')' is after person2
4411a8cc-bd1f-4956-bad3-2929989b65b7::span:319:330~~4411a8cc-bd1f-4956-bad3-2929989b65b7::span:490:496	1	because 'daughter' or 'son' is between person1 and person2 and 'with' is right before person2
5b421541-4922-418f-a054-886ce4965d02::span:549:552~~5b421541-4922-418f-a054-886ce4965d02::span:569:579	1	because of the word "wife" between person1 and person2.
fb4bf07f-f54d-49bd-938d-00e4368e3365::span:3060:3064~~fb4bf07f-f54d-49bd-938d-00e4368e3365::span:3096:3111	1	The phrase "with estranged wife" occurs immediately before person2
6ba84121-2be5-40f3-81fd-0ee2f333989e::span:391:406~~6ba84121-2be5-40f3-81fd-0ee2f333989e::span:425:428	1	Because 'husband' and ',' are within three words to the left of person2
bf3a5294-6ccf-4649-a3f3-b9a6cd0aa5f1::span:1829:1831~~bf3a5294-6ccf-4649-a3f3-b9a6cd0aa5f1::span:1837:1841	1	"and" is between person1 and person2, and "tied the knot" is immediately after (person1 and person2).
c6a853a3-960e-4857-b048-abb692d1b2cc::span:5882:5889~~c6a853a3-960e-4857-b048-abb692d1b2cc::span:5905:5915	1	"wife" is immediately before person2
5e8ee5fd-87f7-49c8-a95c-97fe26b1bf04::span:195:198~~5e8ee5fd-87f7-49c8-a95c-97fe26b1bf04::span:400:417	2	The words "her second child" and "daughter" occur between person1 and person2.
d746c590-da94-438e-b0f3-302077088402::span:198:208~~d746c590-da94-438e-b0f3-302077088402::span:241:254	1	Because 'fiance' is between person1 and person2 and 'fiance' is right before person2
87158208-e400-424a-8cad-da6eb9f2959c::span:406:419~~87158208-e400-424a-8cad-da6eb9f2959c::span:589:599	1	"husband" occurs right before person2
176fbe18-c256-4206-be21-6eb361ffd3e4::span:1600:1604~~176fbe18-c256-4206-be21-6eb361ffd3e4::span:1621:1624	1	person1 is preceded by "wife" and person2 occurs within 3 words of person1
72c336af-f0c4-477a-8014-0bf97b6e979e::span:817:830~~72c336af-f0c4-477a-8014-0bf97b6e979e::span:1171:1174	1	"his widow" is before person2
d83554df-ec54-4ffc-a56d-f7145374dcdd::span:929:933~~d83554df-ec54-4ffc-a56d-f7145374dcdd::span:1236:1239	1	"his wife" is before person1
e522e66f-ad1f-4b8b-a532-4f030a8e7a75::span:4054:4059~~e522e66f-ad1f-4b8b-a532-4f030a8e7a75::span:4085:4091	1	'and' is between person1 and person2 and 'married' is less than 5 words right of person2
3494f8e0-ecd4-4f10-86db-95b920744162::span:18:33~~3494f8e0-ecd4-4f10-86db-95b920744162::span:120:125	1	"his wife" comes after person1 and "his wife" comes within three words of person2.
0e09245b-76c7-4eab-8da5-375ac0e0b6aa::span:10397:10402~~0e09245b-76c7-4eab-8da5-375ac0e0b6aa::span:10411:10416	2	"," is immediately before person2
8ed8e52a-d1e9-4df2-b7cf-c5bf3961d40d::span:5098:5102~~8ed8e52a-d1e9-4df2-b7cf-c5bf3961d40d::span:5213:5221	1	person1 is referred to as person2's "wife"; person2 also attended person1's memorial service
c9062ccc-f63b-4bd1-95e2-3d3ccc6391eb::span:2765:2768~~c9062ccc-f63b-4bd1-95e2-3d3ccc6391eb::span:2858:2862	1	"and" is between person1 and person2, and "proposal" follows (person1 and person2) in the sentence.
d83554df-ec54-4ffc-a56d-f7145374dcdd::span:1245:1261~~d83554df-ec54-4ffc-a56d-f7145374dcdd::span:1392:1402	1	the last word of person1 is the same as the last word of person2
0e09245b-76c7-4eab-8da5-375ac0e0b6aa::span:682:691~~0e09245b-76c7-4eab-8da5-375ac0e0b6aa::span:751:756	1	person1 is "married to husband" person2
c9062ccc-f63b-4bd1-95e2-3d3ccc6391eb::span:2765:2768~~c9062ccc-f63b-4bd1-95e2-3d3ccc6391eb::span:2858:2862	1	"proposal" occurs after person1 and person2
9aee8633-0b59-4446-81d9-a7d281be8e09::span:2880:2888~~9aee8633-0b59-4446-81d9-a7d281be8e09::span:2923:2931	1	The words "married to" occur between person1 and person2.
e7b41f2f-d98a-45a1-9616-1d4a65e24501::span:81:84~~e7b41f2f-d98a-45a1-9616-1d4a65e24501::span:90:104	1	(person2 contains "Osteen") and (person1 contains 1 token) and ("and" is between person1 and person2)
381d69e7-2dbe-4893-8455-617a567c6168::span:2837:2841~~381d69e7-2dbe-4893-8455-617a567c6168::span:2955:2959	2	person2 is 'Obama'
e9f73bb0-d758-40a7-bf59-d42521a88294::span:2287:2291~~e9f73bb0-d758-40a7-bf59-d42521a88294::span:2317:2319	2	"wife" occurs after person1 and person2
